,FTSE 100,Spot Rates,Forward Rates,,,,,,,,,,,,,,,,
,Index in ?,$/?,"1 month, $/?",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1/1/1985,1232.2,1.159,1.1546,,,,,,,,,,,,,,,,
2/1/1985,1272.6,1.1245,1.1202,,,,,,,,,,,,,,,,
3/1/1985,1250.8,1.0725,1.0684,,,,,,,,,,,,,,,,
4/1/1985,1278.3,1.2225,1.2178,,,,,,,,,,,,,,,,
5/1/1985,1301.5,1.2235,1.2188,,,,,,,,,,,,,,,,
6/1/1985,1324.6,1.2917,1.2867,,,,,,,,,,,,,,,,
7/1/1985,1246.8,1.3055,1.3005,,,,,,,,,,,,,,,,
8/1/1985,1287.2,1.383,1.3777,,,,,,,,,,,,,,,,
9/1/1985,1340.3,1.3775,1.3722,,,,,,,,,,,,,,,,
10/1/1985,1296,1.412,1.4066,,,,,,,,,,,,,,,,
11/1/1985,1379,1.4405,1.435,,,,,,,,,,,,,,,,
12/1/1985,1418.5,1.4875,1.4818,,,,,,,,,,,,,,,,
1/1/1986,1412.6,1.4455,1.44,,,,,,,,,,,,,,,,
2/1/1986,1425.1,1.3865,1.3816,,,,,,,,,,,,,,,,
3/1/1986,1534.7,1.442,1.4366,,,,,,,,,,,,,,,,
4/1/1986,1684,1.4715,1.4659,,,,,,,,,,,,,,,,
5/1/1986,1640.1,1.5295,1.5238,,,,,,,,,,,,,,,,
6/1/1986,1596.5,1.474,1.4683,,,,,,,,,,,,,,,,
7/1/1986,1660.8,1.55,1.5439,,,,,,,,,,,,,,,,
8/1/1986,1561.8,1.4855,1.4797,,,,,,,,,,,,,,,,
9/1/1986,1672.8,1.4905,1.4846,,,,,,,,,,,,,,,,
10/1/1986,1578.3,1.445,1.4392,,,,,,,,,,,,,,,,
11/1/1986,1639.2,1.4115,1.4058,,,,,,,,,,,,,,,,
12/1/1986,1617.8,1.438,1.4322,,,,,,,,,,,,,,,,
1/1/1987,1679,1.4825,1.4765,,,,,,,,,,,,,,,,
2/1/1987,1832.8,1.524,1.518,,,,,,,,,,,,,,,,
3/1/1987,1983.1,1.564,1.559,,,,,,,,,,,,,,,,
4/1/1987,1973.1,1.605,1.5999,,,,,,,,,,,,,,,,
5/1/1987,2068.5,1.669,1.6653,,,,,,,,,,,,,,,,
6/1/1987,2228.2,1.6255,1.6232,,,,,,,,,,,,,,,,
7/1/1987,2269.8,1.6165,1.6142,,,,,,,,,,,,,,,,
8/1/1987,2334.3,1.584,1.5823,,,,,,,,,,,,,,,,
9/1/1987,2272.8,1.64,1.6383,,,,,,,,,,,,,,,,
10/1/1987,2373.8,1.617,1.6153,,,,,,,,,,,,,,,,
11/1/1987,1723.7,1.739,1.7372,,,,,,,,,,,,,,,,
12/1/1987,1578.5,1.8195,1.8169,,,,,,,,,,,,,,,,
1/1/1988,1712.7,1.8785,1.8751,,,,,,,,,,,,,,,,
2/1/1988,1776.9,1.7585,1.7553,,,,,,,,,,,,,,,,
3/1/1988,1781.9,1.778,1.7748,,,,,,,,,,,,,,,,
4/1/1988,1742.5,1.888,1.8829,,,,,,,,,,,,,,,,
5/1/1988,1802.2,1.8795,1.8744,,,,,,,,,,,,,,,,
6/1/1988,1805.7,1.824,1.8191,,,,,,,,,,,,,,,,
7/1/1988,1858.2,1.701,1.6964,,,,,,,,,,,,,,,,
8/1/1988,1862.2,1.7135,1.7084,,,,,,,,,,,,,,,,
9/1/1988,1730.5,1.6735,1.6685,,,,,,,,,,,,,,,,
10/1/1988,1802.6,1.699,1.6936,,,,,,,,,,,,,,,,
11/1/1988,1857.8,1.767,1.7618,,,,,,,,,,,,,,,,
12/1/1988,1778.7,1.853,1.8475,,,,,,,,,,,,,,,,
1/1/1989,1793.1,1.809,1.8037,,,,,,,,,,,,,,,,
2/1/1989,2039.7,1.7545,1.7493,,,,,,,,,,,,,,,,
3/1/1989,2021.3,1.7245,1.7195,,,,,,,,,,,,,,,,
4/1/1989,2079.6,1.686,1.681,,,,,,,,,,,,,,,,
5/1/1989,2118,1.689,1.683,,,,,,,,,,,,,,,,
6/1/1989,2103.4,1.573,1.5672,,,,,,,,,,,,,,,,
7/1/1989,2165.6,1.5775,1.5703,,,,,,,,,,,,,,,,
8/1/1989,2292.3,1.6545,1.6469,,,,,,,,,,,,,,,,
9/1/1989,2407.5,1.5565,1.5494,,,,,,,,,,,,,,,,
10/1/1989,2289.2,1.618,1.61,,,,,,,,,,,,,,,,
11/1/1989,2160.1,1.582,1.5748,,,,,,,,,,,,,,,,
12/1/1989,2311.1,1.566,1.5589,,,,,,,,,,,,,,,,
1/1/1990,2422.7,1.6125,1.6045,,,,,,,,,,,,,,,,
2/1/1990,2345.8,1.6825,1.6742,,,,,,,,,,,,,,,,
3/1/1990,2238.4,1.6655,1.6568,,,,,,,,,,,,,,,,
4/1/1990,2221.6,1.631,1.6229,,,,,,,,,,,,,,,,
5/1/1990,2117.9,1.6405,1.6324,,,,,,,,,,,,,,,,
6/1/1990,2371.4,1.6845,1.6761,,,,,,,,,,,,,,,,
7/1/1990,2372,1.7635,1.7543,,,,,,,,,,,,,,,,
8/1/1990,2339,1.855,1.8444,,,,,,,,,,,,,,,,
9/1/1990,2166.6,1.873,1.8623,,,,,,,,,,,,,,,,
10/1/1990,2030.8,1.8895,1.8786,,,,,,,,,,,,,,,,
11/1/1990,2028,1.9515,1.9403,,,,,,,,,,,,,,,,
12/1/1990,2162.7,1.919,1.908,,,,,,,,,,,,,,,,
1/1/1991,2143.5,1.93,1.9189,,,,,,,,,,,,,,,,
2/1/1991,2165.7,1.9765,1.9648,,,,,,,,,,,,,,,,
3/1/1991,2386.9,1.898,1.8868,,,,,,,,,,,,,,,,
4/1/1991,2456.5,1.739,1.7287,,,,,,,,,,,,,,,,
5/1/1991,2508.4,1.7245,1.7146,,,,,,,,,,,,,,,,
6/1/1991,2515.8,1.6975,1.6878,,,,,,,,,,,,,,,,
7/1/1991,2443.6,1.615,1.6057,,,,,,,,,,,,,,,,
8/1/1991,2591.7,1.674,1.6644,,,,,,,,,,,,,,,,
9/1/1991,2679.6,1.685,1.6749,,,,,,,,,,,,,,,,
10/1/1991,2645.6,1.748,1.7373,,,,,,,,,,,,,,,,
11/1/1991,2549.5,1.7495,1.739,,,,,,,,,,,,,,,,
12/1/1991,2414.9,1.7765,1.7658,,,,,,,,,,,,,,,,
1/1/1992,2493.1,1.871,1.8606,,,,,,,,,,,,,,,,
2/1/1992,2560.2,1.8,1.7892,,,,,,,,,,,,,,,,
3/1/1992,2554.3,1.7555,1.7449,,,,,,,,,,,,,,,,
4/1/1992,2408.6,1.724,1.7136,,,,,,,,,,,,,,,,
5/1/1992,2659.8,1.785,1.7741,,,,,,,,,,,,,,,,
6/1/1992,2697.6,1.823,1.8118,,,,,,,,,,,,,,,,
7/1/1992,2493.9,1.911,1.9019,,,,,,,,,,,,,,,,
8/1/1992,2420.2,1.924,1.9152,,,,,,,,,,,,,,,,
9/1/1992,2298.4,1.997,1.9893,,,,,,,,,,,,,,,,
10/1/1992,2572.3,1.7365,1.7298,,,,,,,,,,,,,,,,
11/1/1992,2687.8,1.5315,1.5267,,,,,,,,,,,,,,,,
12/1/1992,2792,1.5365,1.5306,,,,,,,,,,,,,,,,
1/1/1993,2846.5,1.514,1.5082,,,,,,,,,,,,,,,,
2/1/1993,2851.6,1.4535,1.4489,,,,,,,,,,,,,,,,
3/1/1993,2882.6,1.44,1.4359,,,,,,,,,,,,,,,,
4/1/1993,2878.4,1.5255,1.5212,,,,,,,,,,,,,,,,
5/1/1993,2813.1,1.569,1.5647,,,,,,,,,,,,,,,,
6/1/1993,2849.2,1.551,1.5468,,,,,,,,,,,,,,,,
7/1/1993,2888.8,1.5085,1.5044,,,,,,,,,,,,,,,,
8/1/1993,2941.7,1.4895,1.4841,,,,,,,,,,,,,,,,
9/1/1993,3085,1.5075,1.502,,,,,,,,,,,,,,,,
10/1/1993,3039.3,1.5055,1.5,,,,,,,,,,,,,,,,
11/1/1993,3164.4,1.481,1.477,,,,,,,,,,,,,,,,
12/1/1993,3233.2,1.4805,1.4776,,,,,,,,,,,,,,,,
1/1/1994,3418.4,1.4795,1.4766,,,,,,,,,,,,,,,,
2/1/1994,3481.5,1.5071,1.5041,,,,,,,,,,,,,,,,
3/1/1994,3270.6,1.486,1.4831,,,,,,,,,,,,,,,,
4/1/1994,3086.4,1.4745,1.4721,,,,,,,,,,,,,,,,
5/1/1994,3125.3,1.5185,1.516,,,,,,,,,,,,,,,,
6/1/1994,2931.9,1.5171,1.5146,,,,,,,,,,,,,,,,
7/1/1994,2936.4,1.538,1.5369,,,,,,,,,,,,,,,,
8/1/1994,3097.4,1.5385,1.5378,,,,,,,,,,,,,,,,
9/1/1994,3216.5,1.5403,1.5396,,,,,,,,,,,,,,,,
10/1/1994,2983.5,1.578,1.5776,,,,,,,,,,,,,,,,
11/1/1994,3096.3,1.6347,1.6345,,,,,,,,,,,,,,,,
12/1/1994,3039.6,1.5672,1.567,,,,,,,,,,,,,,,,
1/1/1995,3065.5,1.5645,1.5647,,,,,,,,,,,,,,,,
2/1/1995,3017.3,1.5816,1.5818,,,,,,,,,,,,,,,,
3/1/1995,3041.2,1.5806,1.5808,,,,,,,,,,,,,,,,
4/1/1995,3143.1,1.6169,1.6172,,,,,,,,,,,,,,,,
5/1/1995,3220.4,1.6163,1.6178,,,,,,,,,,,,,,,,
6/1/1995,3340.6,1.5911,1.5926,,,,,,,,,,,,,,,,
7/1/1995,3323.7,1.5993,1.6008,,,,,,,,,,,,,,,,
8/1/1995,3449.9,1.5988,1.6003,,,,,,,,,,,,,,,,
9/1/1995,3509.4,1.5525,1.5533,,,,,,,,,,,,,,,,
10/1/1995,3520.2,1.5871,1.5873,,,,,,,,,,,,,,,,
11/1/1995,3518.7,1.5785,1.5793,,,,,,,,,,,,,,,,
12/1/1995,3680.4,1.5308,1.531,,,,,,,,,,,,,,,,
1/1/1996,3689.3,1.5526,1.5534,,,,,,,,, $-   ,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
