DATE,OPEN,HIGH,LOW,CLOSE
1.95E+07,16.66,16.66,16.66,16.66
1.95E+07,16.85,16.85,16.85,16.85
1.95E+07,16.93,16.93,16.93,16.93
1.95E+07,16.98,16.98,16.98,16.98
1.95E+07,17.08,17.08,17.08,17.08
1.95E+07,17.03,17.03,17.03,17.03
1.95E+07,17.09,17.09,17.09,17.09
1.95E+07,16.76,16.76,16.76,16.76
1.95E+07,16.67,16.67,16.67,16.67
1.95E+07,16.72,16.72,16.72,16.72
1.95E+07,16.86,16.86,16.86,16.86
1.95E+07,16.85,16.85,16.85,16.85
1.95E+07,16.87,16.87,16.87,16.87
1.95E+07,16.9,16.9,16.9,16.9
1.95E+07,16.92,16.92,16.92,16.92
1.95E+07,16.86,16.86,16.86,16.86
1.95E+07,16.74,16.74,16.74,16.74
1.95E+07,16.73,16.73,16.73,16.73
1.95E+07,16.82,16.82,16.82,16.82
1.95E+07,17.02,17.02,17.02,17.02
1.95E+07,17.05,17.05,17.05,17.05
1.95E+07,17.05,17.05,17.05,17.05
1.95E+07,17.23,17.23,17.23,17.23
1.95E+07,17.29,17.29,17.29,17.29
1.95E+07,17.32,17.32,17.32,17.32
1.95E+07,17.23,17.23,17.23,17.23
1.95E+07,17.21,17.21,17.21,17.21
1.95E+07,17.28,17.28,17.28,17.28
1.95E+07,17.24,17.24,17.24,17.24
1.95E+07,17.06,17.06,17.06,17.06
1.95E+07,17.06,17.06,17.06,17.06
1.95E+07,16.99,16.99,16.99,16.99
1.95E+07,17.15,17.15,17.15,17.15
1.95E+07,17.2,17.2,17.2,17.2
1.95E+07,17.17,17.17,17.17,17.17
1.95E+07,17.21,17.21,17.21,17.21
1.95E+07,17.28,17.28,17.28,17.28
1.95E+07,17.28,17.28,17.28,17.28
1.95E+07,17.22,17.22,17.22,17.22
1.95E+07,17.24,17.24,17.24,17.24
1.95E+07,17.23,17.23,17.23,17.23
1.95E+07,17.29,17.29,17.29,17.29
1.95E+07,17.32,17.32,17.32,17.32
1.95E+07,17.2,17.2,17.2,17.2
1.95E+07,17.19,17.19,17.19,17.19
1.95E+07,17.07,17.07,17.07,17.07
1.95E+07,17.09,17.09,17.09,17.09
1.95E+07,17.12,17.12,17.12,17.12
1.95E+07,17.25,17.25,17.25,17.25
1.95E+07,17.45,17.45,17.45,17.45
1.95E+07,17.49,17.49,17.49,17.49
1.95E+07,17.45,17.45,17.45,17.45
1.95E+07,17.44,17.44,17.44,17.44
1.95E+07,17.45,17.45,17.45,17.45
1.95E+07,17.55,17.55,17.55,17.55
1.95E+07,17.56,17.56,17.56,17.56
1.95E+07,17.56,17.56,17.56,17.56
1.95E+07,17.46,17.46,17.46,17.46
1.95E+07,17.53,17.53,17.53,17.53
1.95E+07,17.44,17.44,17.44,17.44
1.95E+07,17.3,17.3,17.3,17.3
1.95E+07,17.29,17.29,17.29,17.29
1.95E+07,17.53,17.53,17.53,17.53
1.95E+07,17.55,17.55,17.55,17.55
1.95E+07,17.63,17.63,17.63,17.63
1.95E+07,17.78,17.78,17.78,17.78
1.95E+07,17.85,17.85,17.85,17.85
1.95E+07,17.75,17.75,17.75,17.75
1.95E+07,17.94,17.94,17.94,17.94
1.95E+07,17.98,17.98,17.98,17.98
1.95E+07,17.96,17.96,17.96,17.96
1.95E+07,17.88,17.88,17.88,17.88
1.95E+07,18.03,18.03,18.03,18.03
1.95E+07,18.05,18.05,18.05,18.05
1.95E+07,17.93,17.93,17.93,17.93
1.95E+07,17.96,17.96,17.96,17.96
1.95E+07,17.83,17.83,17.83,17.83
1.95E+07,17.83,17.83,17.83,17.83
1.95E+07,17.76,17.76,17.76,17.76
1.95E+07,17.86,17.86,17.86,17.86
1.95E+07,17.96,17.96,17.96,17.96
1.95E+07,18.22,18.22,18.22,18.22
1.95E+07,18.11,18.11,18.11,18.11
1.95E+07,18.27,18.27,18.27,18.27
1.95E+07,18.12,18.12,18.12,18.12
1.95E+07,18.22,18.22,18.22,18.22
1.95E+07,18.27,18.27,18.27,18.27
1.95E+07,18.27,18.27,18.27,18.27
1.95E+07,18.29,18.29,18.29,18.29
1.95E+07,18.29,18.29,18.29,18.29
1.95E+07,18.18,18.18,18.18,18.18
1.95E+07,18.26,18.26,18.26,18.26
1.95E+07,18.44,18.44,18.44,18.44
1.95E+07,18.52,18.52,18.52,18.52
1.95E+07,18.56,18.56,18.56,18.56
1.95E+07,18.68,18.68,18.68,18.68
1.95E+07,18.6,18.6,18.6,18.6
1.95E+07,18.71,18.71,18.71,18.71
1.95E+07,18.69,18.69,18.69,18.69
1.95E+07,18.69,18.69,18.69,18.69
1.95E+07,18.67,18.67,18.67,18.67
1.95E+07,18.72,18.72,18.72,18.72
1.95E+07,18.78,18.78,18.78,18.78
1.95E+07,18.77,18.77,18.77,18.77
1.95E+07,18.79,18.79,18.79,18.79
1.95E+07,18.6,18.6,18.6,18.6
1.95E+07,18.88,18.88,18.88,18.88
1.95E+07,18.93,18.93,18.93,18.93
1.95E+07,19.14,19.14,19.14,19.14
1.95E+07,19.26,19.26,19.26,19.26
1.95E+07,19.4,19.4,19.4,19.4
1.95E+07,19.25,19.25,19.25,19.25
1.95E+07,18.98,18.98,18.98,18.98
1.95E+07,18.93,18.93,18.93,18.93
1.95E+07,18.97,18.97,18.97,18.97
1.95E+07,18.92,18.92,18.92,18.92
1.95E+07,18.83,18.83,18.83,18.83
1.95E+07,19,19,19,19
1.95E+07,19.16,19.16,19.16,19.16
1.95E+07,19.14,19.14,19.14,19.14
1.95E+07,18.11,18.11,18.11,18.11
1.95E+07,17.91,17.91,17.91,17.91
1.95E+07,18.11,18.11,18.11,18.11
1.95E+07,17.44,17.44,17.44,17.44
1.95E+07,17.69,17.69,17.69,17.69
1.95E+07,17.64,17.64,17.64,17.64
1.95E+07,17.81,17.81,17.81,17.81
1.95E+07,17.91,17.91,17.91,17.91
1.95E+07,17.67,17.67,17.67,17.67
1.95E+07,17.59,17.59,17.59,17.59
1.95E+07,17.32,17.32,17.32,17.32
1.95E+07,16.87,16.87,16.87,16.87
